CodDpt,LibDpt,CodCirElec,LibCirElec,NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand
01,Ain,0101,1ère circonscription,1,LAHY,Éric,M.,EXG,Extrême gauche
01,Ain,0101,1ère circonscription,2,MAÎTRE,Christophe,M.,RN,Rassemblement National
01,Ain,0101,1ère circonscription,3,BRETON,Xavier,M.,LR,Les Républicains
01,Ain,0101,1ère circonscription,4,GUERAUD,Sébastien,M.,UG,Union de la gauche
01,Ain,0101,1ère circonscription,5,VINCENT,Cyril,M.,DSV,Droite souverainiste
01,Ain,0101,1ère circonscription,6,MENDES,Michael,M.,DSV,Droite souverainiste
01,Ain,0101,1ère circonscription,7,GUILLERMIN,Vincent,M.,ENS,Ensemble ! (Majorité présidentielle)
01,Ain,0102,2ème circonscription,1,KOTARAC,Andréa,M.,RN,Rassemblement National
01,Ain,0102,2ème circonscription,2,DAUBIÉ,Romain,M.,DVC,Divers centre
01,Ain,0102,2ème circonscription,3,EYRAUD,Olivier,M.,EXD,Extrême droite
01,Ain,0102,2ème circonscription,4,GOUTAGNY,Vincent,M.,EXG,Extrême gauche
01,Ain,0102,2ème circonscription,5,MEYER,Maxime,M.,UG,Union de la gauche
01,Ain,0102,2ème circonscription,6,NANCHI,Alexandre,M.,LR,Les Républicains
01,Ain,0103,3ème circonscription,1,GIVERNET,Olga,Mme,ENS,Ensemble ! (Majorité présidentielle)
01,Ain,0103,3ème circonscription,2,JOLIE,Christian,M.,UG,Union de la gauche
01,Ain,0103,3ème circonscription,3,VEILLEROT,Annick,Mme,DSV,Droite souverainiste
01,Ain,0103,3ème circonscription,4,MAISONNETTE,Cécile,Mme,EXG,Extrême gauche
01,Ain,0103,3ème circonscription,5,UNAL,Khadija,Mme,LR,Les Républicains
01,Ain,0103,3ème circonscription,6,DUBARRY,Karine,Mme,RN,Rassemblement National
01,Ain,0103,3ème circonscription,7,TONIZZO,Sofia,Mme,DIV,Divers
01,Ain,0103,3ème circonscription,8,KOUASSI,Fulgence,M.,DIV,Divers
01,Ain,0104,4ème circonscription,1,LIOTIER,Charline,Mme,UG,Union de la gauche
01,Ain,0104,4ème circonscription,2,BRESSON,Yannick,M.,DIV,Divers
01,Ain,0104,4ème circonscription,3,NICAUD,Jérémy,M.,DIV,Divers
01,Ain,0104,4ème circonscription,4,COUSSON,Sylvain,M.,EXG,Extrême gauche
01,Ain,0104,4ème circonscription,5,COQUELET,Christophe,M.,ENS,Ensemble ! (Majorité présidentielle)
01,Ain,0104,4ème circonscription,6,BUISSON,Jérôme,M.,RN,Rassemblement National
01,Ain,0104,4ème circonscription,7,BILLOUDET,Guy,M.,LR,Les Républicains
01,Ain,0105,5ème circonscription,1,CHATELARD,Thomas,M.,ECO,Ecologistes
01,Ain,0105,5ème circonscription,2,CROZET,Sylvie,Mme,EXG,Extrême gauche
01,Ain,0105,5ème circonscription,3,BOURDIN,Fabrice,M.,LR,Les Républicains
01,Ain,0105,5ème circonscription,4,PISANI,Florence,Mme,UG,Union de la gauche
01,Ain,0105,5ème circonscription,5,ABAD,Damien,M.,DVD,Divers droite
01,Ain,0105,5ème circonscription,6,DESCOURS,Nathalie,Mme,ENS,Ensemble ! (Majorité présidentielle)
01,Ain,0105,5ème circonscription,7,PATRU,Maria Cristina,Mme,REC,Reconquête !
01,Ain,0105,5ème circonscription,8,CHAVENT,Marc,M.,UXD,Union de l'extrême droite
02,Aisne,0201,1ère circonscription,1,CULIOLI,Charles,M.,UG,Union de la gauche
02,Aisne,0201,1ère circonscription,2,TRÉGUIER,Philippe,M.,REC,Reconquête !
02,Aisne,0201,1ère circonscription,3,BOUFFLET,Matthieu Léon,M.,DIV,Divers
02,Aisne,0201,1ère circonscription,4,DRAGON,Nicolas,M.,RN,Rassemblement National
02,Aisne,0201,1ère circonscription,5,PERNELLE,Jean-Loup,M.,EXG,Extrême gauche
02,Aisne,0201,1ère circonscription,6,DELAVENNE,Damien,M.,ENS,Ensemble ! (Majorité présidentielle)
02,Aisne,0202,2ème circonscription,1,DIVE,Julien,M.,LR,Les Républicains
02,Aisne,0202,2ème circonscription,2,BÉCOURT,Corinne,Mme,EXG,Extrême gauche
02,Aisne,0202,2ème circonscription,3,DUJANCOURT,Anne-Sophie,Mme,UG,Union de la gauche
02,Aisne,0202,2ème circonscription,4,ZANDITÉNAS,Anne-Catherine,Mme,EXG,Extrême gauche
02,Aisne,0202,2ème circonscription,5,TORRE,Philippe,M.,RN,Rassemblement National
02,Aisne,0202,2ème circonscription,6,KACZMAREK,Didier,M.,REC,Reconquête !
02,Aisne,0203,3ème circonscription,1,FOURNIER,Anne-Marie,Mme,REC,Reconquête !
02,Aisne,0203,3ème circonscription,2,CRÉON,Damien,M.,DSV,Droite souverainiste
02,Aisne,0203,3ème circonscription,3,BRICOUT,Jean-Louis,M.,DVG,Divers gauche
02,Aisne,0203,3ème circonscription,4,VOISIN,Laetitia,Mme,EXG,Extrême gauche
02,Aisne,0203,3ème circonscription,5,CASTERMAN,Eddy,M.,EXD,Extrême droite
02,Aisne,0204,4ème circonscription,1,PRIÉ,Lola,Mme,UG,Union de la gauche
02,Aisne,0204,4ème circonscription,2,MAURICE,Benjamin,M.,ENS,Ensemble ! (Majorité présidentielle)
02,Aisne,0204,4ème circonscription,3,BEAURAIN,José,M.,RN,Rassemblement National
02,Aisne,0204,4ème circonscription,4,BOUILLAGUET,Flora,Mme,EXG,Extrême gauche
02,Aisne,0204,4ème circonscription,5,GOUJARD,Philippe,M.,EXD,Extrême droite
02,Aisne,0205,5ème circonscription,1,DESSIGNY,Jocelyn,M.,RN,Rassemblement National
02,Aisne,0205,5ème circonscription,2,GILQUIN,Jade,Mme,LR,Les Républicains
02,Aisne,0205,5ème circonscription,3,BELAÏD,Karim,M.,UG,Union de la gauche
02,Aisne,0205,5ème circonscription,4,ROUSSEL,Jeanne,Mme,ENS,Ensemble ! (Majorité présidentielle)
02,Aisne,0205,5ème circonscription,5,MERBOUCHE,Yona,Mme,EXG,Extrême gauche
03,Allier,0301,1ère circonscription,1,AGEZ,Blandine,Mme,REC,Reconquête !
03,Allier,0301,1ère circonscription,2,MONNET,Yannick,M.,UG,Union de la gauche
03,Allier,0301,1ère circonscription,3,GUILLAUMIN,Jean-Marie,M.,UDI,Union des Démocrates et Indépendants
03,Allier,0301,1ère circonscription,4,COLLOT,Jean-Marc,M.,EXG,Extrême gauche
03,Allier,0301,1ère circonscription,5,LARZAT,Stephane,M.,ENS,Ensemble ! (Majorité présidentielle)
03,Allier,0301,1ère circonscription,6,BARDET,Alexandra,Mme,LR,Les Républicains
03,Allier,0301,1ère circonscription,7,THÈS,Anne-Marie,Mme,RN,Rassemblement National
03,Allier,0302,2ème circonscription,1,BOVET,Jorys,M.,RN,Rassemblement National
03,Allier,0302,2ème circonscription,2,LEFEBVRE,Romain,M.,LR,Les Républicains
03,Allier,0302,2ème circonscription,3,HERITIER,Louise,Mme,UG,Union de la gauche
03,Allier,0302,2ème circonscription,4,GONÇALVES,Alice,Mme,REC,Reconquête !
03,Allier,0302,2ème circonscription,5,ROUSSEAUX,Nicolas,M.,DVD,Divers droite
03,Allier,0302,2ème circonscription,6,VANCEUNEBROCK,Laurence,Mme,ENS,Ensemble ! (Majorité présidentielle)
03,Allier,0302,2ème circonscription,7,LEBEL,Bernard,M.,EXG,Extrême gauche
03,Allier,0303,3ème circonscription,1,RAY,Nicolas,M.,LR,Les Républicains
03,Allier,0303,3ème circonscription,2,QUENEY,Rémy,M.,RN,Rassemblement National
03,Allier,0303,3ème circonscription,3,RAMEAU,Jean-François,M.,EXG,Extrême gauche
03,Allier,0303,3ème circonscription,4,JEUDI,Aline,Mme,UG,Union de la gauche
04,Alpes-de-Haute-Provence,0401,1ère circonscription,1,LAKHLEF TSALAMLAL,Nadia,Mme,UDI,Union des Démocrates et Indépendants
04,Alpes-de-Haute-Provence,0401,1ère circonscription,2,RAPONI,Sandra,Mme,LR,Les Républicains
04,Alpes-de-Haute-Provence,0401,1ère circonscription,3,ROS,Annabel,Mme,EXG,Extrême gauche
04,Alpes-de-Haute-Provence,0401,1ère circonscription,4,CAMPART,Patricia,Mme,REC,Reconquête !
04,Alpes-de-Haute-Provence,0401,1ère circonscription,5,GIRARD,Christian,M.,RN,Rassemblement National
04,Alpes-de-Haute-Provence,0401,1ère circonscription,6,BLANC,Felix,M.,UG,Union de la gauche
04,Alpes-de-Haute-Provence,0401,1ère circonscription,7,GAUVAN,Benoit,M.,ENS,Ensemble ! (Majorité présidentielle)
04,Alpes-de-Haute-Provence,0402,2ème circonscription,1,REYNAUD,Loan,M.,DVD,Divers droite
04,Alpes-de-Haute-Provence,0402,2ème circonscription,2,VAGINAY,Sophie,Mme,UXD,Union de l'extrême droite
04,Alpes-de-Haute-Provence,0402,2ème circonscription,3,CYVOCT,Henri,M.,EXG,Extrême gauche
04,Alpes-de-Haute-Provence,0402,2ème circonscription,4,WALTER,Léo,M.,UG,Union de la gauche
04,Alpes-de-Haute-Provence,0402,2ème circonscription,5,BLANC,Dominique,Mme,ENS,Ensemble ! (Majorité présidentielle)
04,Alpes-de-Haute-Provence,0402,2ème circonscription,6,CADENEL,Myriam,Mme,REC,Reconquête !
05,Hautes-Alpes,0501,1ère circonscription,1,SAINTE-MARIE,Jérôme,M.,RN,Rassemblement National
05,Hautes-Alpes,0501,1ère circonscription,2,BOYER,Pascale,Mme,ENS,Ensemble ! (Majorité présidentielle)
05,Hautes-Alpes,0501,1ère circonscription,3,ALLEMAND,Marie-José,Mme,UG,Union de la gauche
05,Hautes-Alpes,0501,1ère circonscription,4,BUISSON,Véronique,Mme,EXG,Extrême gauche
05,Hautes-Alpes,0501,1ère circonscription,5,DEININGER,Dorian,M.,LR,Les Républicains
05,Hautes-Alpes,0502,2ème circonscription,1,GUIGNARD,Boris,M.,EXG,Extrême gauche
05,Hautes-Alpes,0502,2ème circonscription,2,FINE,Sébastien,M.,ENS,Ensemble ! (Majorité présidentielle)
05,Hautes-Alpes,0502,2ème circonscription,3,ROSSI,Valérie,Mme,UG,Union de la gauche
05,Hautes-Alpes,0502,2ème circonscription,4,MONDAIN,Johann,M.,DIV,Divers
05,Hautes-Alpes,0502,2ème circonscription,5,ALBRAND,Louis,M.,RN,Rassemblement National
06,Alpes-Maritimes,0601,1ère circonscription,1,SALERNO,Olivier,M.,UG,Union de la gauche
06,Alpes-Maritimes,0601,1ère circonscription,2,BOVIS,Maxime,M.,DIV,Divers
06,Alpes-Maritimes,0601,1ère circonscription,3,BEN MOULAY,Lalla Chama,Mme,ECO,Ecologistes
06,Alpes-Maritimes,0601,1ère circonscription,4,MONETTI,Graig,M.,ENS,Ensemble ! (Majorité présidentielle)
06,Alpes-Maritimes,0601,1ère circonscription,5,LANGOUET,Alain,M.,EXG,Extrême gauche
06,Alpes-Maritimes,0601,1ère circonscription,6,SPACH,Jean-Claude Wahid,M.,REG,Régionaliste
06,Alpes-Maritimes,0601,1ère circonscription,7,CIOTTI,Eric,M.,UXD,Union de l'extrême droite
06,Alpes-Maritimes,0601,1ère circonscription,8,VANIER-GUÉRIN,Virgile,M.,LR,Les Républicains
06,Alpes-Maritimes,0602,2ème circonscription,1,TONNERRE,Leïla,Mme,UG,Union de la gauche
06,Alpes-Maritimes,0602,2ème circonscription,2,VARRONE,David,M.,ENS,Ensemble ! (Majorité présidentielle)
